CT Price,ME Price,MA Price,MO Price,NE Price,NH Price,NJ Price,NY Price,PA Price,RI Price,VT Price
2.39,0.0,3.34,1.87,2.72,0,2.21,0.0,0.0,0.0,0
1.81,0.0,2.63,1.95,2.34,0,1.69,0.0,0.0,0.0,0
1.78,0.0,3.32,2.21,2.55,0,1.58,0.0,0.0,0.0,0
1.83,0.0,2.16,1.95,1.63,0,1.64,0.0,0.0,1.88,0
1.94,0.0,2.76,1.95,1.68,0,1.77,0.0,0.0,2.05,0
2.0,0.0,2.07,2.38,2.11,0,1.59,0.0,0.0,1.84,0
1.78,2.59,1.76,2.29,2.17,0,1.44,0.0,0.0,1.79,0
2.2,0.0,2.13,0.0,2.47,0,1.41,0.0,0.0,0.0,0
2.83,0.0,3.0,0.0,3.65,0,1.58,0.0,0.0,3.19,0
4.3,0.0,5.39,0.0,3.8,0,2.86,0.0,0.0,4.64,0
4.73,0.0,6.67,2.93,4.76,0,3.08,0.0,0.0,0.0,0
6.38,0.0,7.63,0.0,0.0,0,5.29,0.0,0.0,0.0,0
3.84,0.0,0.0,6.24,5.26,0,2.48,0.0,0.0,0.0,0
2.93,0.0,2.81,3.0,4.12,0,2.28,0.0,0.0,0.0,0
2.73,0.0,0.0,3.35,4.4,0,2.45,0.0,0.0,0.0,0
3.09,0.0,3.99,3.41,4.13,0,2.8,0.0,0.0,0.0,0
3.64,0.0,3.79,3.9,4.56,0,3.37,0.0,0.0,0.0,0
4.2,0.0,4.47,4.12,4.77,0,3.95,0.0,0.0,0.0,0
4.58,0.0,4.61,5.05,6.76,0,4.63,0.0,0.0,0.0,0
5.44,0.0,5.86,5.43,6.89,0,4.82,0.0,0.0,0.0,0
6.53,0.0,7.7,0.0,6.85,0,5.08,0.0,0.0,0.0,0
